N,d,var,E_in_bar,E_out_bar,E_bias
5,3,0.01,0.321660599,1.184439591,0.686223384
5,3,0.1,0.512149482,0.564987845,0.372150348
5,3,1,2.013510303,2.854452946,2.571539461
5,4,0.01,0.097304695,5.8761479,2.621880978
5,4,0.1,0.188280154,0.72647998,0.494227978
5,4,1,0.413060549,2.21592092,1.292249065
5,5,0.01,0.056873091,7.614648102,4.007841077
5,5,0.1,0.338638297,14.72241096,0.842497806
5,5,1,0.192354753,2.87370449,1.444065462
5,6,0.01,0.131118404,10.63323093,3.258377505
5,6,0.1,0.355519042,0.609422709,0.340265485
5,6,1,1.291883182,2.284469376,1.370463538
5,7,0.01,0.357136735,0.723130732,0.332989507
5,7,0.1,0.684136531,0.87237917,0.404448182
5,7,1,0.328555882,1.598551343,1.211183791
5,8,0.01,0.325191516,1.296404569,0.382625845
5,8,0.1,0.400561858,0.85141911,0.510445761
5,8,1,0.508443896,5.300587494,2.586823959
5,9,0.01,0.27330635,1.261853496,0.282371413
5,9,0.1,0.330993333,1.47248467,0.598187216
5,9,1,0.277359221,8.129517962,1.188867015
5,10,0.01,0.173204249,3.18758259,0.876270166
5,10,0.1,0.224886521,2.080332982,0.735180078
5,10,1,1.140524815,2.27495105,1.13358022
5,11,0.01,0.218284588,24.56558284,1.094295969
5,11,0.1,0.176323336,3.482216632,0.515997178
5,11,1,0.826834716,4.057854018,2.529859993
5,12,0.01,0.270279506,2.629473256,0.407563158
5,12,0.1,0.221244522,5.108446876,0.604304394
5,12,1,0.62640954,8.108831597,3.306144718
5,13,0.01,0.325452133,2.817244415,0.391056649
5,13,0.1,0.218211452,0.94341928,0.515532365
5,13,1,0.819832949,9.59269942,2.944803693
5,14,0.01,0.211313748,1.95714346,1.155816762
5,14,0.1,0.259014224,9.228456322,1.355947064
5,14,1,0.596575203,5.278651,1.74036578
5,15,0.01,0.256158804,0.637975041,0.282057338
5,15,0.1,0.263426824,1.196332281,0.708905486
5,15,1,0.266210706,7.646705515,4.406653127
5,16,0.01,0.18667682,2.207461657,0.906463718
5,16,0.1,0.414932235,7.812013951,0.941694608
5,16,1,0.419711874,5.501553955,1.25272959
5,17,0.01,0.102463018,1.205000953,0.285090841
5,17,0.1,0.165027011,2.786097011,1.178314611
5,17,1,0.250309846,14.96617011,2.597996623
5,18,0.01,0.171189456,1.426289804,0.368044916
5,18,0.1,0.130414764,8.074474847,2.209643803
5,18,1,0.673959488,6.260371093,2.431233669
5,19,0.01,0.102870332,4.46523419,0.618960005
5,19,0.1,0.23355563,2.912350559,0.925847271
5,19,1,0.195121417,2.135105292,1.710695087
5,20,0.01,0.149184454,15.56314407,2.130086713
5,20,0.1,0.412578535,3.261503688,0.51694181
5,20,1,1.487380757,9.08664107,1.915741418
10,0,0.01,0.369167944,0.619896493,0.595355795
10,0,0.1,0.587028718,0.613732039,0.607881054
10,0,1,1.175977143,1.577311713,1.554077226
10,1,0.01,0.363207289,0.596274345,0.580804525
10,1,0.1,0.315693187,0.998107867,0.868154732
10,1,1,0.391512447,1.572922896,1.587238709
10,2,0.01,0.501895012,0.576284569,0.467021615
10,2,0.1,0.468439036,0.531454331,0.448609958
10,2,1,0.553465421,1.523012528,1.415018486
10,3,0.01,0.393926358,0.518829577,0.321495879
10,3,0.1,0.352351815,2.66729526,1.529118727
10,3,1,1.273427099,1.53520501,1.289532563
10,4,0.01,0.322612788,0.655110312,0.407826197
10,4,0.1,0.48085893,0.886446462,0.528674676
10,4,1,0.9243687,3.458361931,1.957777045
10,5,0.01,0.239053057,3.552205669,0.564543941
10,5,0.1,0.392668321,5.224967583,1.263760196
10,5,1,0.965911944,1.865141111,1.560848376
10,6,0.01,0.433448124,1.81970836,0.289889805
10,6,0.1,0.513457529,2.166739284,0.537909433
10,6,1,1.172392941,12.57506811,8.365036191
10,7,0.01,0.328550241,0.489037048,0.278340314
10,7,0.1,0.311141111,2.012802604,0.825946686
10,7,1,0.782009544,1.880936194,1.662792461
