N,d,var,E_in_bar,E_out_bar,E_bias
10,18,1,1.197583272,2.211054712,1.436294527
10,19,0.01,0.661529509,3.26335377,0.237748818
10,19,0.1,0.681950448,16.69624509,0.537845894
10,19,1,2.362425789,5.226206461,1.249198106
10,20,0.01,0.591243076,2.369280413,0.681178285
10,20,0.1,0.525465345,1.235685153,0.621504018
10,20,1,1.263856904,15.73499504,3.207626676
20,0,0.01,0.538909884,0.518562768,0.507593468
20,0,0.1,0.646513183,0.620874746,0.614552356
20,0,1,0.930287831,1.53816957,1.596048339
20,1,0.01,0.671849772,0.804287144,0.534986092
20,1,0.1,0.701547317,0.900065374,0.642959506
20,1,1,2.412381301,1.863201585,1.701745848
20,2,0.01,0.453406718,0.979912775,0.680457844
20,2,0.1,0.649533637,0.666450335,0.49991573
20,2,1,1.085100838,1.810685841,1.679715501
20,3,0.01,0.508456074,0.651420166,0.406291583
20,3,0.1,0.602254393,0.66266674,0.453105908
20,3,1,2.149946912,1.820999339,1.390767691
20,4,0.01,0.527168906,0.619391262,0.262215519
20,4,0.1,0.739089015,1.097829369,0.636285904
20,4,1,0.849943407,1.634695175,1.236548661
20,5,0.01,0.715452205,1.389811663,0.508451696
20,5,0.1,0.777819902,1.030267718,0.483382618
20,5,1,1.54262714,1.9878772,1.507502165
20,6,0.01,0.571845799,0.834704726,0.395463532
20,6,0.1,0.657868562,1.035624871,0.407015284
20,6,1,1.247924455,2.018634795,1.549930841
20,7,0.01,0.566874398,1.118487198,0.347555743
20,7,0.1,0.574723141,0.637148859,0.346769884
20,7,1,1.635577159,1.972260292,1.19050268
20,8,0.01,0.604120482,1.332338344,0.182503011
20,8,0.1,0.782010724,1.006261803,0.398935255
20,8,1,1.217626397,1.794083701,1.502897979
20,9,0.01,0.568789625,1.081601366,0.187484399
20,9,0.1,0.801173794,1.509810274,0.48948729
20,9,1,1.362810794,2.60910142,1.744093801
20,10,0.01,0.579534955,0.844877465,0.30207088
20,10,0.1,0.867368268,1.268800279,0.445746804
20,10,1,1.609546268,2.01175425,1.178657317
20,11,0.01,0.569910546,0.731395073,0.270918711
20,11,0.1,0.557748659,0.974138756,0.667680403
20,11,1,1.481154861,1.762916606,1.31745422
20,12,0.01,0.500127231,3.616986837,0.23048707
20,12,0.1,0.656866936,2.199678709,0.619166319
20,12,1,1.830955192,5.094857144,1.314123568
20,13,0.01,0.821150181,0.900169653,0.359116019
20,13,0.1,0.846455214,1.521488352,0.443220944
20,13,1,1.210758039,2.245385364,1.241387826
20,14,0.01,0.924241242,0.938544067,0.29024111
20,14,0.1,0.785111168,1.105924117,0.42233915
20,14,1,1.728437627,2.115561957,1.479682702
20,15,0.01,0.647430608,1.183269232,0.224924013
20,15,0.1,0.497312183,0.974039931,0.388968805
20,15,1,1.266091441,2.4245019,1.526181617
20,16,0.01,0.748416415,1.71980457,0.303995655
20,16,0.1,0.766862798,1.498348786,0.443897204
20,16,1,1.752462356,8.648408461,1.43791773
20,17,0.01,0.790043486,1.351312274,0.472035261
20,17,0.1,0.763607978,1.011086869,0.470637925
20,17,1,1.572385423,2.006645342,1.224895569
20,18,0.01,0.583119662,1.203073609,0.609550006
20,18,0.1,0.975253854,1.331153684,0.453296808
20,18,1,2.116875777,2.491806809,1.606372764
20,19,0.01,0.503316097,0.616460564,0.309002252
20,19,0.1,0.721117984,0.853345042,0.285578795
20,19,1,1.351478728,2.068662674,1.592639316
20,20,0.01,0.790707674,1.279703558,0.407750764
20,20,0.1,0.705028535,1.031690079,0.582790432
20,20,1,1.805237477,2.032986236,1.301899769
50,0,0.01,0.443792067,0.516020138,0.507211309
50,0,0.1,0.563248245,0.603222947,0.601570416
50,0,1,1.619624975,1.534777524,1.583690245
50,1,0.01,0.682197168,0.621537163,0.516540825
50,1,0.1,0.793215439,0.800428846,0.674578522
50,1,1,1.695196669,2.000663304,1.64755651
50,2,0.01,0.645325021,0.569478886,0.441475572
50,2,0.1,0.782982337,0.717713197,0.599168687
50,2,1,1.627397354,1.624423741,1.448410692
50,3,0.01,0.563237177,0.554144672,0.348718314
50,3,0.1,0.602544112,0.753818691,0.503461876
50,3,1,1.212457887,1.697194459,1.531848693
50,4,0.01,0.62097256,0.758753274,0.420455368
50,4,0.1,0.847084477,0.830284947,0.4624511
50,4,1,1.579437086,1.83808147,1.464749971
50,5,0.01,0.641099115,0.597205811,0.299857753
50,5,0.1,0.844856475,1.001244938,0.480617688
50,5,1,1.555111157,1.812942441,1.456852671
50,6,0.01,0.78999209,0.813931208,0.372728294
50,6,0.1,0.725478369,0.826922105,0.302075516
50,6,1,1.90642095,1.775329063,1.25997049
50,7,0.01,0.754880676,0.872101889,0.375550505
50,7,0.1,0.984139848,0.889607868,0.426285972
50,7,1,1.906154252,1.826347116,1.22299914
50,8,0.01,0.658405897,0.685623603,0.227395173
50,8,0.1,0.840746555,0.965156477,0.381109755
50,8,1,1.532394601,2.067694748,1.485982052
